"X","Y"
147.8,146.5
139.6,147.7
162.3,172.4
158.6,173
170.5,164.9
153.3,168.6
159.1,159.8
144.6,164.5
155.9,162.4
153.5,152.4
155,147.9
148.8,142.3
155.1,164.1
157,166.6
162.7,163.8
163.9,163.2
166.1,168
149.7,156.3
156.7,167.6
144.9,170.4
153.3,166.1
147.8,159.3
146.1,161.1
154.9,160.2
147.7,162.8
148.5,141
137.5,158.8
155.7,157
148.4,161.4
157,166.9
143,171.1
154.7,157
165.8,175.1
153.2,167.9
144.9,152
148.2,162.6
152.1,169.4
150,158.1
156.8,153.5
163.5,159.2
145.2,168
153.6,154.3
169.5,170
158.7,164.3
153.2,162.3
151.4,146.2
152.4,169.7
142.7,169
154,163
144.5,150.3
154.8,168.7
158.6,147.9
162,159.2
162.6,167.7
165.3,157.2
